headquarter_tag,major_name,profession_tag,area,region_tag,plan_end_time,project_tag,project_code,breakdown,breakdown_value,measure,measure value,sig,impact,insight,insight_type,score
华润置地,*,综合体,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6241818078816401,0.1820418204182042,trend,shape,0.11362719257869956
*,*,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5075262207241916,1.0,trend,shape,0.5075262207241916
华润置地,电梯专业,综合体,*,华北大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.9090419664344455,0.08897088970889709,trend,shape,0.08087827253639798
*,电气专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.45727588285423293,0.18491184911849118,trend,shape,0.08455572905586677
*,*,*,*,华南大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.3480281528223056,0.18245182451824518,trend,shape,0.06349837146614432
*,消防专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5404245986923657,0.3169331693316933,trend,shape,0.17127848084837993
华润置地,*,*,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6439669472055851,0.1992619926199262,trend,shape,0.1283181370815557
华润置地,电梯专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.49113903428581673,0.3714637146371464,trend,shape,0.18244033007911029
华润置地,消防专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5637435124221959,0.2894628946289463,trend,shape,0.16318282893401817
*,电梯专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.49113903428581673,0.3714637146371464,trend,shape,0.18244033007911029
*,消防专业,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6153319047525246,0.21279212792127922,trend,shape,0.1309377853901436
*,*,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.4300926039627305,0.42886428864288645,trend,shape,0.1844513586490431
华润置地,电梯专业,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6391627946677751,0.25174251742517423,trend,shape,0.16090445097417544
*,*,*,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6339632870636913,0.2045920459204592,trend,shape,0.12970384593882
华润置地,消防专业,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.49511898384152586,0.19352193521935218,trend,shape,0.09581638391685125
华润置地,*,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.4461295681215319,0.3858138581385814,trend,shape,0.17212296990666728
华润置地,*,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6498029942022565,0.6773267732677327,trend,shape,0.4401289653227256
