subspace,row,breakdown,insight type,measure,value,value of breakdown,sig
*;*;*;济南万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=1,0.789636185,\,0.789636185
*;*;*;天津万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=1,0.883520586,\,0.883520586
*;*;*;北京密云万象汇;*,13,project_code,correlation,sum of danger_number;count of risk_level=1,0.582344554,\,0.582344554
*;*;*;郑州万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=1,0.997037565,\,0.997037565
*;*;*;沈阳万象城;*,12,project_code,correlation,sum of danger_number;count of risk_level=1,0.979232902,\,0.979232902
*;*;*;日照万象汇;*,12,project_code,correlation,sum of danger_number;count of risk_level=1,0.413431711,\,0.413431711
*;*;*;青岛万象城;*,12,project_code,correlation,sum of danger_number;count of risk_level=1,0.522649459,\,0.522649459
*;*;*;鞍山万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=1,0.949295058,\,0.949295058
*;*;*;兴化项目;*,11,project_code,correlation,sum of danger_number;count of risk_level=1,0.94560142,\,0.94560142
*;*;*;石家庄万象城;*,11,project_code,correlation,sum of danger_number;count of risk_level=1,0.264102019,\,0.264102019
*;*;*;青岛城阳万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=1,0.461857553,\,0.461857553
*;*;*;沈阳铁西万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=1,0.777713771,\,0.777713771
*;*;*;*;*,1238,project_code,correlation,sum of danger_number;count of risk_level=3,0.547646232,\,0.547646232
*;*;*;*;*,1238,project_code,correlation,sum of danger_number;count of risk_level=1,0.552279675,\,0.552279675
